datetime,open,high,low,close,volume
2018-01-01,13880.0,13941.75,12801.38,13443.41,7688.0306846
2018-01-02,13394.2,15257.53,12910.58,14678.94,16299.66930279
2018-01-03,14670.96,15500.0,14546.28,15155.62,12275.00119668
2018-01-04,15155.62,15430.27,14192.37,15143.67,15004.01859256
2018-01-05,15143.67,17200.0,14810.0,16928.0,16248.91467956
2018-01-06,16927.99,17234.99,16220.0,17149.67,9501.01675546
2018-01-07,17142.43,17149.97,15707.16,16124.02,8632.81384337
2018-01-08,16173.98,16300.0,13900.0,14999.99,16676.34994239
2018-01-09,14999.99,15367.18,14123.97,14403.51,13913.52469368
2018-01-10,14403.51,14900.0,13412.0,14890.02,18479.01253046
2018-01-11,14899.99,14973.07,12800.0,13243.83,19630.07517112
2018-01-12,13249.99,14152.19,12807.27,13781.41,13433.08481363
2018-01-13,13829.28,14619.1,13789.42,14197.78,7488.98701847
2018-01-14,14197.78,14365.81,13072.22,13647.99,7588.63558972
2018-01-15,13647.99,14394.36,13429.25,13607.04,9444.63530824
2018-01-16,13581.66,13607.04,10162.0,11386.34,38789.88308789
2018-01-17,11393.97,11794.07,9222.0,11191.35,41356.1897379
2018-01-18,11199.0,12146.0,10693.0,11247.57,22195.26202056
2018-01-19,11290.9,12050.39,11025.18,11552.0,13203.25567513
2018-01-20,11560.82,13052.12,11515.94,12775.99,10324.05733414
2018-01-21,12782.99,12791.88,11100.0,11558.87,11596.44128787
2018-01-22,11558.87,11910.78,10028.41,10808.99,17067.72925582
2018-01-23,10810.0,11409.87,9927.54,10851.82,17250.17614645
2018-01-24,10848.99,11500.0,10488.13,11400.96,11646.79059794
2018-01-25,11400.98,11741.82,10868.57,11155.54,10212.92183381
2018-01-26,11140.01,11635.0,10263.32,11092.95,15074.66641243
2018-01-27,11093.74,11630.47,10815.84,11446.54,10309.80746248
2018-01-28,11446.54,11989.15,11360.52,11685.58,9956.09249576
2018-01-29,11685.58,11820.01,10991.0,11162.62,9996.35689848
2018-01-30,11162.62,11222.36,9731.2,9971.0,21082.19252764
2018-01-31,9971.0,10324.0,9514.96,10149.0,12743.50947059
2018-02-01,10148.99,10187.56,8455.0,8998.99,26356.58883931
2018-02-02,9010.87,9096.79,7625.25,8838.83,44406.01982931
2018-02-03,8838.29,9491.2,8170.71,9225.86,16208.37411342
2018-02-04,9225.31,9350.09,7825.0,8191.0,19110.67246079
2018-02-05,8190.78,8335.56,6600.0,6874.27,46544.42880431
2018-02-06,6878.65,8150.0,5920.72,7737.37,70961.36965826
2018-02-07,7737.26,8649.0,7213.8,7588.01,32640.89253754
2018-02-08,7588.01,8644.36,7565.5,8259.76,22746.39118112
2018-02-09,8259.42,8779.62,7753.32,8693.98,18418.11709042
2018-02-10,8693.98,9090.8,8170.86,8560.0,14670.55870203
2018-02-11,8560.0,8560.0,7820.0,8067.0,12711.7858457
2018-02-12,8077.25,8995.0,8067.0,8899.0,15071.04029684
2018-02-13,8891.2,8951.89,8360.13,8522.99,11374.52415254
2018-02-14,8504.57,9515.0,8504.57,9490.98,17468.73886593
2018-02-15,9490.98,10234.0,9350.0,10018.0,21036.3373175
2018-02-16,10011.3,10300.0,9707.51,10196.0,11857.64277513
2018-02-17,10203.14,11135.83,10053.5,11101.0,14511.16913676
2018-02-18,11101.0,11300.0,10153.15,10421.06,17623.07943135
2018-02-19,10433.68,11262.48,10307.51,11173.0,11698.25622611
2018-02-20,11159.12,11780.0,11080.37,11233.41,15880.9090398
2018-02-21,11233.42,11275.74,10256.0,10449.4,19959.67715652
2018-02-22,10446.79,10935.0,9731.2,9843.34,20204.69095384
2018-02-23,9843.33,10405.3,9600.0,10166.1,16044.03930333
2018-02-24,10135.2,10540.63,9373.48,9689.99,13972.71472351
2018-02-25,9688.26,9883.41,9260.0,9590.04,11037.17695269
2018-02-26,9595.99,10461.97,9376.34,10324.7,16156.80505618
2018-02-27,10329.99,10850.0,10150.0,10566.3,10408.47993775
2018-02-28,10572.49,11064.75,10255.07,10314.9,10490.74905816
2018-03-01,10314.99,11090.0,10223.41,10903.13,9481.66514611
2018-03-02,10917.37,11175.0,10774.01,11029.99,8329.09790086
2018-03-03,11032.81,11503.24,11022.85,11445.0,7786.26753951
2018-03-04,11445.0,11511.0,11054.91,11463.27,6831.63070279
2018-03-05,11479.68,11688.0,11383.66,11419.24,9933.67623336
2018-03-06,11417.39,11420.01,10560.19,10723.76,14734.41949313
2018-03-07,10723.01,10911.78,9450.0,9913.03,26116.51184803
2018-03-08,9904.52,10150.0,9078.95,9285.32,22522.42746991
2018-03-09,9293.06,9420.39,8366.0,9230.0,29014.16684454
2018-03-10,9228.83,9514.96,8697.0,8791.47,12886.58857926
2018-03-11,8795.04,9768.37,8450.0,9535.04,16407.54237557
2018-03-12,9535.04,9892.0,8742.07,9120.75,18751.02057959
2018-03-13,9115.24,9482.79,8830.0,9142.32,16001.47534639
2018-03-14,9152.07,9356.14,7948.0,8196.69,21191.0231358
2018-03-15,8195.99,8425.0,7682.0,8265.05,18387.61138793
2018-03-16,8265.05,8613.06,7914.08,8258.54,16498.62433531
2018-03-17,8258.54,8356.4,7730.23,7860.83,12048.6688914
2018-03-18,7860.83,8324.92,7325.37,8188.24,19547.36114711
2018-03-19,8205.55,8718.74,8114.17,8596.93,19396.08835883
2018-03-20,8596.79,9051.0,8313.01,8904.02,13454.8222604
2018-03-21,8904.02,9188.1,8754.83,8893.79,12100.99713332
2018-03-22,8892.18,9099.59,8503.52,8704.67,12587.63392229
2018-03-23,8708.52,8920.79,8265.0,8920.79,13749.78486097
2018-03-24,8917.99,9020.0,8505.0,8547.0,9731.98236841
2018-03-25,8541.96,8680.0,8368.63,8453.9,9155.91214778
2018-03-26,8451.12,8500.0,7831.15,8149.66,17693.4153393
2018-03-27,8152.26,8211.62,7742.11,7791.7,12385.25028422
2018-03-28,7791.69,8104.98,7723.03,7932.41,8437.64467971
2018-03-29,7932.41,7968.0,6914.53,7088.38,22138.11413228
2018-03-30,7086.14,7302.35,6550.0,6850.0,29101.44802706
2018-03-31,6839.63,7231.73,6794.26,6928.62,11579.59705718
2018-04-01,6926.5,7045.71,6427.16,6813.52,18046.94087395
2018-04-02,6816.31,7106.5,6759.96,7052.76,13624.16035566
2018-04-03,7052.75,7506.84,7001.28,7416.27,16089.54162903
2018-04-04,7415.53,7430.0,6710.38,6799.95,15779.20246661
2018-04-05,6799.37,6928.7,6578.95,6771.69,11894.53597807
2018-04-06,6771.3,6850.0,6510.0,6618.33,8478.41806897
2018-04-07,6627.7,7069.13,6600.99,6904.9,7683.0416526
2018-04-08,6904.21,7104.52,6894.8,7027.26,4352.69794202
2018-04-09,7027.26,7175.83,6611.49,6780.1,10103.91621615
2018-04-10,6782.39,6900.0,6653.21,6835.67,6480.19276418
2018-04-11,6824.75,6984.92,6809.26,6940.94,5825.41064556
2018-04-12,6940.94,8069.34,6758.45,7923.78,19033.3803344
2018-04-13,7923.78,8239.33,7753.32,7896.92,19605.94275077
2018-04-14,7885.9,8232.14,7835.0,8000.41,8935.53071477
2018-04-15,8003.39,8417.0,8001.23,8354.22,7542.84081564
2018-04-16,8353.43,8424.99,7905.0,8048.15,10866.60295749
2018-04-17,8054.68,8160.85,7806.81,7890.87,9277.15121538
2018-04-18,7890.87,8235.0,7870.35,8172.84,9227.20459808
2018-04-19,8172.83,8297.99,8074.44,8271.31,9436.84632763
2018-04-20,8273.0,8934.0,8216.9,8861.0,16059.62267134
